name;station_id;geopunt;lat;lon
Nieuwewandeling 18;12187;51.0556142, 3.7073491;51.0556142;3.7073491
De Harp 2;22606;51.0482267, 3.7242522;51.0482267;3.7242522
Burggravenlaan 220;23103;51.0322354, 3.7252528;51.0322354;3.7252528
Bijlokevest 79;13315;51.0476964, 3.7123697;51.0476964;3.7123697
Groendreef 133;13162;51.0655317, 3.6993996;51.0655317;3.6993996
Ham 1;12027;51.0570081, 3.7329869;51.0570081;3.7329869
Belgradostraat 67;12068;51.0509493, 3.7320597;51.0509493;3.7320597
Groendreef 27;21443;51.0611738, 3.7042604;51.0611738;3.7042604
Papegaaistraat 59;16690;51.0506871, 3.7130943;51.0506871;3.7130943
Sint-Annastraat 3;13324;51.0472983, 3.7337091;51.0472983;3.7337091
Artevelde Hogeschool Kantienberg;23905;51.0408355, 3.7280603;51.0408355;3.7280603
Nieuwland 1;23997;51.0602571, 3.7293461;51.0602571;3.7293461
Alexianenplein 1;12011;51.0521669, 3.7174294;51.0521669;3.7174294
Frans de Coninckstraat 5;16668;51.0312427, 3.7437784;51.0312427;3.7437784
Meulesteedsesteenweg 146A;17067;51.0760789, 3.7304208;51.0760789;3.7304208
Botermarkt;12210;51.0337559, 3.7406861;51.0337559;3.7406861
Kuiperskaai 24;13323;51.0490999, 3.7296768;51.0490999;3.7296768
Voormuide 41;13326;51.0684882, 3.7294424;51.0684882;3.7294424
Kongostraat 7;16695;51.0606404, 3.7310502;51.0606404;3.7310502
Melkerijstraat 49;12143;51.026298, 3.7316947;51.026298;3.7316947
Zwijnaardsesteenweg 99;13258;51.0347921, 3.7258515;51.0347921;3.7258515
Coupure Links 15;12056;51.0466084, 3.7194902;51.0466084;3.7194902
Lijsterstraat 1;16589;51.0669537, 3.6976044;51.0669537;3.6976044
Emanuel Hielstraat 30;12767;51.0446084, 3.7587073;51.0446084;3.7587073
Neringstraat 2;13393;51.0545013, 3.7444318;51.0545013;3.7444318
Koolkapperstraat 18;16611;51.0521476, 3.7028285;51.0521476;3.7028285
Kozijntjesstraat 1;13276;51.0527592, 3.7334048;51.0527592;3.7334048
Dronkey;18459;51.0391223, 3.7261586;51.0391223;3.7261586
Emile Moysonlaan;21330;51.0479245, 3.7475342;51.0479245;3.7475342
Sint-Pietersnieuwstraat 35;18654;51.0465209, 3.7270528;51.0465209;3.7270528
Jan van Gentstraat 36;13267;51.056694, 3.7355042;51.056694;3.7355042
